sensitivity_scenario,disease_direction_component,cross_cohort_component,cell_localization_component,perturbation_component,ml_component,mirna_axis_component
base_weights,1.3,1.2,1.0,1.0,0.9,0.8
equal_weights,1.0,1.0,1.0,1.0,1.0,1.0
leave_one_out__disease_direction_component,0.0,1.2,1.0,1.0,0.9,0.8
leave_one_out__cross_cohort_component,1.3,0.0,1.0,1.0,0.9,0.8
leave_one_out__cell_localization_component,1.3,1.2,0.0,1.0,0.9,0.8
leave_one_out__perturbation_component,1.3,1.2,1.0,0.0,0.9,0.8
leave_one_out__ml_component,1.3,1.2,1.0,1.0,0.0,0.8
leave_one_out__mirna_axis_component,1.3,1.2,1.0,1.0,0.9,0.0
weight_perturbation_0001,1.399647426661669,0.9882606873484321,1.0829527323643555,0.8683683637455801,0.8791013417835796,0.775795467720052
weight_perturbation_0002,1.1538598410109027,1.1515956363731645,1.0994061036387732,1.0523577249809555,1.0279027247808887,0.9312610911791186
weight_perturbation_0003,1.0799777813630094,1.1175509914295605,0.8610622633870697,1.175890396917891,1.006406522755132,0.7476374509721048
weight_perturbation_0004,1.2049733731181158,1.2211690966561721,0.9804345111203339,0.9512978904755349,0.7474332550835232,0.8370946371242067
weight_perturbation_0005,1.2627060420445009,1.105078785977071,0.8604909087422321,0.8372531917203713,1.0588263315298345,0.8324684243521168
weight_perturbation_0006,1.1372975193283956,1.2073716134123365,0.8686366053827663,0.8090676022803244,0.8921826873224608,0.7860869385513974
weight_perturbation_0007,1.1026116061618345,1.250629103110997,0.844593163853429,1.0087481191331513,0.8931924742381739,0.9427299340452265
weight_perturbation_0008,1.3698258442288687,1.3491508877973641,0.9604418146803678,1.0259821669178226,0.9482748844060004,0.8004913218502069
weight_perturbation_0009,1.3571952832410115,1.0915476676631446,0.8897466463728473,0.8963536679219447,0.9439827317363769,0.9009974115898697
weight_perturbation_0010,1.216541781091121,1.1982584653931734,0.8385829663304807,0.9679514323577326,0.9346285025024156,0.816011227204389
weight_perturbation_0011,1.4618969572681766,0.9716431313152241,0.9289528759610028,1.1566002309522774,0.9172838588699344,0.8249913339130285
weight_perturbation_0012,1.4869693357183191,1.1456485739626079,0.8575092074519566,1.0802793972457798,0.9206772473031347,0.9411532246559686
weight_perturbation_0013,1.2457911487584148,1.2897704191485533,0.9242847700164237,1.000685056984575,0.7918342295302185,0.9044307257375618
weight_perturbation_0014,1.3898305381179996,1.303252718613659,1.0797517269519215,0.8941071656294032,1.031726927207125,0.929676338369411
weight_perturbation_0015,1.4453848163885248,0.9937910365226018,0.8333011117107755,1.0422825056321103,0.9829844055116603,0.6527095880147142
weight_perturbation_0016,1.5193631881364291,1.1068780409912933,1.1107082381230544,0.9119062506346679,1.0142557579271954,0.9541440354983957
weight_perturbation_0017,1.4700617076002627,1.0807114166727343,0.8190193816450348,1.135034416625608,1.0499237437450777,0.7394820452337385
weight_perturbation_0018,1.1115471999084516,1.1084608056833425,0.9957193085315932,1.1508968232661831,0.8916448149236894,0.6815617916928635
weight_perturbation_0019,1.5471801054449656,1.119325594730166,0.9417570752081209,1.0232367327512462,0.9725500827376918,0.6696555776523327
weight_perturbation_0020,1.1018903001534326,0.9964373676624432,1.1500344359773416,1.0229766747439077,0.8881490914864697,0.7587835675662048
weight_perturbation_0021,1.072238936820983,1.348713324499785,1.063901214161009,1.0110372851033023,0.8526922593560818,0.6843649012143138
weight_perturbation_0022,1.478811373991872,1.3224456341366915,1.0441204228695442,0.8133816692721914,0.9026369532062974,0.8883929477275679
weight_perturbation_0023,1.1997826894370276,1.4185522691528,0.9708273955917565,1.023486405052119,0.7705561316338234,0.7858024358533341
weight_perturbation_0024,1.2574879829911594,1.0750334438585083,1.0526617910669265,1.0728431437938108,0.8606666754894549,0.7172224160680232
