series_id,sender_celltype,receiver_celltype,ligand,receptor,pair,pathway,ipf_interaction_score,control_interaction_score,ipf_minus_control_interaction_score,interaction_log2_ratio
GSE135893,Endothelial,Immune,MIF,CD74,MIF-CD74,MIF inflammatory signaling,9.619243076982936,7.424659443637706,2.19458363334523,0.3731557381724555
GSE135893,Endothelial,Endothelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,7.612231942309084,5.608214477021177,2.004017465287907,0.4401018087789499
GSE135893,Epithelial,Immune,MIF,CD74,MIF-CD74,MIF inflammatory signaling,10.771678408074125,8.93612715171203,1.8355512563620948,0.2692466144568903
GSE135893,Epithelial,Endothelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,8.524216905010475,6.749901196300428,1.7743157087100467,0.33625661841198473
GSE135893,Mesenchymal,Mesenchymal,COL14A1,ITGB1,COL14A1-ITGB1,collagen-integrin matrix remodeling,3.2033050436902375,1.4850210349107202,1.7182840087795173,1.1038921611836778
GSE135893,Mesenchymal,Immune,CXCL12,CXCR4,CXCL12-CXCR4,chemokine recruitment,2.681349575512749,1.1830231449088964,1.4983264306038526,1.1737077608236155
GSE135893,Endothelial,Mesenchymal,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,2.195385238662242,0.8097721704550324,1.3856130682072094,1.4277357696064104
GSE135893,Immune,Mesenchymal,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,1.8851340296755552,0.5395117350453335,1.3456222946302216,1.7860776878586828
GSE135893,Endothelial,Epithelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,6.960675461733248,5.646013827929393,1.3146616338038548,0.30151281341619574
GSE135893,Mesenchymal,Endothelial,COL14A1,ITGB1,COL14A1-ITGB1,collagen-integrin matrix remodeling,3.028887810605718,1.7725198443578853,1.2563679662478329,0.7696252766241027
GSE136831,Myeloid,Lymphoid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,1.607276773717736,0.3891447974122629,1.2181319763054732,2.0185824847558087
GSE135893,Immune,Endothelial,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,1.782490086321756,0.6439607481312882,1.1385293381904678,1.4546891895201866
GSE135893,Endothelial,Endothelial,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,2.0758483810544055,0.9665433739977924,1.109305007056613,1.094878263951055
GSE135893,Immune,Immune,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,1.5818103632733111,0.5169949616268581,1.064815401646453,1.5948073998568606
GSE136831,Stromal,Stromal,COL1A1,ITGA1,COL1A1-ITGA1,collagen-integrin matrix remodeling,2.646995725947374,1.5887799111053975,1.0582158148419767,0.7328245567873483
GSE135893,Immune,Endothelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,6.63971390270437,5.5892197040227405,1.0504941986816299,0.24806648133293346
GSE136831,Myeloid,Myeloid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,1.3471883945467549,0.3218799599963723,1.0253084345503827,2.0318875760982755
GSE135893,Mesenchymal,Endothelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,7.990182408683945,6.983065435043458,1.0071169736404872,0.1941078898974612
GSE135893,Epithelial,Epithelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,7.794600570617893,6.795395512710786,0.9992050579071075,0.19764578879880557
GSE135893,Immune,Immune,MIF,CD74,MIF-CD74,MIF inflammatory signaling,8.390314756011287,7.399512452326936,0.990802303684351,0.18106477005869637
GSE135893,Endothelial,Immune,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,3.917096348760608,2.940810745148724,0.9762856036118839,0.4123515997856008
GSE136831,Stromal,Endothelial,COL1A1,ITGB1,COL1A1-ITGB1,collagen-integrin matrix remodeling,2.1293162417227576,1.1674331652970609,0.9618830764256967,0.861504592455511
GSE136831,Stromal,Stromal,COL1A1,ITGB1,COL1A1-ITGB1,collagen-integrin matrix remodeling,2.2778955094588444,1.3271987888235313,0.9506967206353132,0.7748072109162948
GSE135893,Mesenchymal,Epithelial,COL14A1,ITGB1,COL14A1-ITGB1,collagen-integrin matrix remodeling,1.7905562883169557,0.8406096413980485,0.9499466469189072,1.0818735885532096
GSE136831,Stromal,Epithelial,COL1A1,ITGA2,COL1A1-ITGA2,collagen-integrin matrix remodeling,1.5594983451367719,0.6228751135867238,0.9366232315500481,1.3103107645789531
GSE136831,Myeloid,Stromal,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,1.1522154592934042,0.23272544654590546,0.9194900127474988,2.2594802810320807
GSE135893,Immune,Mesenchymal,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,1.1596804587335785,0.2536833203124197,0.9059971384211588,2.149236239043503
GSE136831,Stromal,Endothelial,COL1A1,ITGA1,COL1A1-ITGA1,collagen-integrin matrix remodeling,2.2868290020892497,1.3909190142739591,0.8959099878152905,0.7132698952785501
GSE135893,Mesenchymal,Mesenchymal,COL3A1,ITGB1,COL3A1-ITGB1,collagen-integrin matrix remodeling,5.051073414368553,4.157244057520282,0.8938293568482711,0.28034980684320177
GSE135893,Mesenchymal,Mesenchymal,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,1.3230357792052483,0.4383136872059209,0.8847220919993274,1.5721350521879762
GSE136831,Myeloid,Endothelial,SPP1,ITGAV,SPP1-ITGAV,macrophage-integrin signaling,1.0982803508564336,0.23518749947665527,0.8630928513797783,2.176365539692023
GSE135893,Mesenchymal,Immune,MIF,CD74,MIF-CD74,MIF inflammatory signaling,10.096842476826767,9.244810971525846,0.8520315053009213,0.12705692029446528
GSE135893,Epithelial,Immune,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,4.386384856335768,3.539483386041259,0.846901470294509,0.3087086232319996
GSE136831,Stromal,Lymphoid,COL1A1,ITGB1,COL1A1-ITGB1,collagen-integrin matrix remodeling,1.7504357657807896,0.9112026083453052,0.8392331574354844,0.934342186386759
GSE135893,Mesenchymal,Mesenchymal,COL1A1,ITGB1,COL1A1-ITGB1,collagen-integrin matrix remodeling,5.277037353037567,4.440168674583869,0.8368686784536985,0.24859949989387373
GSE135893,Mesenchymal,Immune,COL14A1,ITGB1,COL14A1-ITGB1,collagen-integrin matrix remodeling,1.7115609559387739,0.8762718776286804,0.8352890783100935,0.9578960230000074
GSE136831,Stromal,Lymphoid,CXCL12,CXCR4,CXCL12-CXCR4,chemokine recruitment,1.4340015530772277,0.6278927467028161,0.8061088063744115,1.1786865146501246
GSE135893,Endothelial,Epithelial,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,1.2271578231701574,0.45837889014228556,0.7687789330278718,1.4012815953460258
GSE135893,Immune,Epithelial,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,1.0537362333957776,0.3053955166054348,0.7483407167903429,1.753906403778703
GSE135893,Mesenchymal,Endothelial,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,1.2509976071506248,0.5231708442923695,0.7278267628582553,1.2418957421126422
GSE136831,Stromal,Myeloid,CXCL12,CXCR4,CXCL12-CXCR4,chemokine recruitment,1.1005832912106348,0.40321896871453194,0.6973643224961028,1.4263392083812012
GSE135893,Endothelial,Immune,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,1.173018368993639,0.47782527221827753,0.6951930967753616,1.2780360696324262
GSE136831,Stromal,Endothelial,POSTN,ITGAV,POSTN-ITGAV,periostin-integrin stromal signaling,0.9685401893131749,0.27521038297750505,0.6933298063356699,1.7786046010263392
GSE136831,Lymphoid,Lymphoid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.819159432304961,0.12727782733178292,0.6918816049731781,2.5945509075675535
GSE136831,Stromal,Epithelial,COL1A1,ITGB1,COL1A1-ITGB1,collagen-integrin matrix remodeling,1.6194553338963211,0.9295839124553136,0.6898714214410075,0.7942958890609677
GSE135893,Immune,Immune,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,1.0072477512747968,0.3183516933140977,0.6888960579606991,1.6313572908277234
GSE135893,Mesenchymal,Mesenchymal,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.677115228946448,0.02626686249131019,0.6508483664551379,4.243828212919629
GSE135893,Endothelial,Immune,CXCL12,CXCR4,CXCL12-CXCR4,chemokine recruitment,1.5489359647577958,0.8987428831549925,0.6501930816028033,0.7786176030686957
GSE136831,Endothelial,Endothelial,POSTN,ITGAV,POSTN-ITGAV,periostin-integrin stromal signaling,1.6038938703108665,0.9711741515630296,0.632719718747837,0.7179645774994727
GSE135893,Mesenchymal,Endothelial,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.6402468810677904,0.031352104731409564,0.6088947763363808,3.974954907856514
GSE135893,Endothelial,Mesenchymal,POSTN,ITGAV,POSTN-ITGAV,periostin-integrin stromal signaling,0.8611909731607629,0.2606055771485271,0.6005853960122358,1.686797432264765
GSE136831,Epithelial,Lymphoid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.6931193373369839,0.10822864695661139,0.5848906903803726,2.5721899275538123
GSE136831,Myeloid,Stromal,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.804662444506736,0.22277346858987698,0.581888975916859,1.8072757723542305
GSE136831,Lymphoid,Myeloid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.6866036382347145,0.10527747574273098,0.5813261624919835,2.595227357931696
GSE136831,Stromal,Endothelial,COL3A1,ITGB1,COL3A1-ITGB1,collagen-integrin matrix remodeling,2.101906540611173,1.5211610045268844,0.5807455360842888,0.4639199987386602
GSE135893,Immune,Mesenchymal,SPP1,ITGAV,SPP1-ITGAV,macrophage-integrin signaling,0.7394877131195514,0.17362879612284732,0.5658589169967041,2.0291125116026985
GSE136831,Myeloid,Epithelial,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.7754531799942775,0.21655347313762277,0.5588997068566548,1.793673672607747
GSE136831,Endothelial,Lymphoid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.8871545607340382,0.3303294718599648,0.5568250888740733,1.3984244611104528
GSE136831,Myeloid,Endothelial,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.7521770884914624,0.1959564292630361,0.5562206592284262,1.8877870775401933
GSE136831,Stromal,Lymphoid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.6157008399519517,0.061492068371667624,0.554208771580284,3.1296179434630833
GSE135893,Mesenchymal,Epithelial,COL1A1,ITGA2,COL1A1-ITGA2,collagen-integrin matrix remodeling,1.4245989315497003,0.8713903472116342,0.5532085843380661,0.7027944596599875
GSE135893,Mesenchymal,Immune,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.5681653767939304,0.02517060275734651,0.5429947740365839,4.039040250835711
GSE136831,Myeloid,Stromal,SPP1,ITGAV,SPP1-ITGAV,macrophage-integrin signaling,0.6882233483260685,0.14641630186832547,0.541807046457743,2.158297721230252
GSE136831,Stromal,Lymphoid,COL3A1,ITGB1,COL3A1-ITGB1,collagen-integrin matrix remodeling,1.727903217437355,1.1872935567025487,0.5406096607348063,0.5375708209891522
GSE136831,Stromal,Stromal,COL3A1,ITGB1,COL3A1-ITGB1,collagen-integrin matrix remodeling,2.248573216295302,1.7293350084841466,0.5192382078111555,0.3768758495677665
GSE136831,Lymphoid,Stromal,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.5872343686922088,0.07611765440050673,0.511116714291702,2.793916259526422
GSE135893,Immune,Mesenchymal,TNF,TNFRSF1A,TNF-TNFRSF1A,TNF inflammatory signaling,0.9711715479117267,0.46062422448446827,0.5105473234272584,1.0599298166704716
GSE135893,Immune,Epithelial,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.7116576540027807,0.20242748968999852,0.5092301643127821,1.7643441280062255
GSE135893,Endothelial,Mesenchymal,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.5200279743876846,0.013358644154422445,0.5066693302332621,4.504040064844362
GSE136831,Myeloid,Lymphoid,SPP1,ITGA4,SPP1-ITGA4,macrophage-integrin signaling,0.6559916969861428,0.1493837225860302,0.5066079744001126,2.0629998926824045
GSE135893,Immune,Immune,SPP1,ITGA4,SPP1-ITGA4,macrophage-integrin signaling,0.8448794249813316,0.3384695660830285,0.5064098588983031,1.2946882894032254
GSE136831,Epithelial,Myeloid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.5809592613825115,0.08952100293904067,0.4914382584434709,2.5699857499478127
GSE135893,Mesenchymal,Epithelial,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,0.7395393201127061,0.24811144270705696,0.4914278774056491,1.5380100615300112
GSE135893,Immune,Immune,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,3.4166587778996367,2.9308503499526526,0.4858084279469841,0.22056916520284825
GSE136831,Lymphoid,Endothelial,SPP1,ITGAV,SPP1-ITGAV,macrophage-integrin signaling,0.5597459774387591,0.07692291956115001,0.4828230578776091,2.712510296118756
GSE135893,Endothelial,Endothelial,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.49171289381241795,0.0159448663020809,0.47576802751033703,4.273341008663141
GSE136831,Endothelial,Myeloid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.7435958435619195,0.2732310386646779,0.47036480489724164,1.4118116319747482
GSE135893,Mesenchymal,Epithelial,COL3A1,ITGB1,COL3A1-ITGB1,collagen-integrin matrix remodeling,2.823406182518656,2.3532457482034186,0.47016043431523746,0.26176777439618165
GSE136831,Myeloid,Lymphoid,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.6183382496679173,0.15294752177190035,0.46539072789601693,1.9471339951912057
GSE136831,Stromal,Myeloid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.5160685699310839,0.0508629811812636,0.46520558874982026,3.111613951987553
GSE135893,Mesenchymal,Immune,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,4.111581803627115,3.661749020048205,0.44983278357891043,0.16673068155837956
GSE136831,Stromal,Stromal,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,0.7096074474318187,0.26068380226106713,0.44892364517075156,1.4106015583905018
